ID,TITLE,GENRE,DESCRIPTION
2763,Profoundly Normal (2003),drama,"Kirstie Alley and Delroy Lindo star in this inspiring DRAMA based on the true story of two mentally challenged childhood friends who, despite their limitations, find love and family life in the ""normal"" world. After their Forest Haven institution is closed, Donna and Ricardo are sent to separate facilities. But their dreams of marriage and family fuel their determination to find each other again."
2764,"""Hum Pardesi Ho Gaye"" (2001)",drama,"Mallika is married to an NRI Rahul by her family, in a rush. When she moves from India with him, she realizes he is in love with his boss Maya and doesn't care for his wife. How Mallika copes with this in an unknown country forms the story."
2765,Welcome to the Candy House (2013),short,"It's a cold December night in Berlin. Once again, Hänsel and Gretel have lost their way. They stumble through the big city in search for warmth and company. An invitation to a night club ('Witch's night - couples welcome') looks like lucky turn..."
2766,När ängarna blommar (1946),drama,"The farm workers at Näs Farm, lead by Hellman, go on strike, demanding that their employer recognize their labor union. But he calls on strike-breakers to perform the farm work. Hellman's son Gunnar is a hothead who easily gets in trouble."
2767,Mice and Men (1916),romance,"Mark Embury sets out to create the perfect wife by adopting Peggy. His work is a success until the girl falls in love with another man. Ultimately, he must give her up and become satisfied with knowing, he did create the perfect wife, albeit for someone else."
2768,Born Without Limbs (2015),documentary,"Australian born Nick Vujicic was born without arms or legs, but that has not stopped him from leading a full life. Now, 32 and founder of the Los Angeles-based nonprofit Life Without Limbs and a motivational speaker, he gives hope to those born with disabilities. Married with a 2-year-old son, Vujicic is the subject of a short documentary, ""Born Without Limbs"", to be aired on TLC on June 17. He shares his inspirational story with NBC's Sudan Donaldson James."
2769,I'm Not Patrick (2015),comedy,"I'm Not Patrick is a black comedy that follows Seth, a teenager whose twin brother, Patrick, has suddenly, tragically, committed suicide. Seth doesn't know what to feel, but everyone is eager to suggest what they imagine to be typical reactions to monozygotic suicide. Whether it's the rival twins' landscaping company encroaching on Seth's turf, or the school guidance counselor hovering close-by, or the French club electing him honorary president (a position that Patrick had occupied), Seth struggles to assert his individuality and insist that ""I'm not Patrick."" Seth is a teenager whose twin brother Patrick, just committed suicide. Unsure what to feel, everyone is eager to suggest typical reactions to monozygotic suicide. Seth struggles to assert his individuality and insist that ""I'm not Patrick."""
2770,"""The 'You Can Do It!' Show"" (2015)",talk-show,"My hope with this series is that it will inspire people to follow their career dream. I want to show that with hard work, determination and dedication you can be whatever you want to be. I will be interviewing people that did follow their dream to show you that YOU CAN DO IT!"
2771,Agenda: Grinding America Down (2010),documentary,"When Idaho Legislator Curtis Bowers wrote a ""letter to the editor"" about the drastic changes in America's culture, it became the feature story on the evening news, people protested at the Capitol, and for weeks the local newspapers were filled with responses. He realized then... he'd hit on something. Ask almost anyone and you'll hear, ""Communism is dead! The Berlin Wall came down."" Thought the word communism isn't used anymore, this film will show the ideas behind it are alive and well. Join Bowers for a fascinating look at the people and groups that have successfully targeted America's morality and freedom in their effort to grind America down. It's a well documented AGENDA."
2772,Skate or Die (2008),action,"When they happen to witness the murder of a drug dealer in an underground car park, Jerome and Benjamin, teenagers from the suburbs, need all their wits - but more importantly their considerable skateboarding skills - to escape the perpetrators and report what they've seen to the authorities."
2773,Tikli and Laxmi Bomb (2017),drama,"Tired of men who promise protection but actually become predators themselves, two Mumbai based sex workers decide to kick men out of the business and start a cooperative that is run by women and for women, and thus run the sex trade themselves. How do they do things differently? How far are they allowed to reach and prosper before they become too serious a threat for patriarchy?"
2774,The 14th Annual People's Choice Awards (1988),documentary,"""People' s Choice Awards"" - American award, that is awarded to the figures of pop culture on results the spectator voting. Handed annually, since 1975. 2005 to of winner in each of nominations found out by means of the sociological questioning, and then voting was organized in the Internet."
2775,Sweet Genevieve (1947),comedy,"The biggest town problem is worrying whether the high school basketball team will win the championship...until racketeers move into town and the kids begin to bet on horses, become overly fond of stripped-down racing cars, and Genevieve Rogers (Jean Porter) suspects her father of being too fond of the school principal's secretary. Town nerd Bill Kennedy (Jimmy Lydon) invents a new fuel amidst rumors that - horrors - the basketball game might be fixed. River City is not the only town that has trouble starting with a ""T"" and there's not a pool hall in sight."
2776,"""Snakemaster"" (2004)",documentary,"Deep in the Queensland rain forest lays a remote and inaccessible valley where Australia's biggest snake, the Amethystine Python is rumored to congregate. Austin Stevens embarks on a journey to find this hidden valley and photograph its enormous inhabitants in a race against time. Impending storms will make getting into the valley impossible or could leave him stranded once inside. On his way, Austin encounters some of the world's most deadly snakes and some of its most treacherous terrain on a journey that has cost previous explorers their lives."
2777,Une femme en loterie (1908),short,"A schoolboy leaves his home with book under his arm and starts out for his studies. On the way he stops at a newsstand and is surprised to read an advertisement to the effect that a lottery will be held, the prize being a beautiful girl. He forgets entirely about school and goes forth to the drawing. The scene of the contest is now in view, the horde of competitors, old and young, clamoring for admittance. They are finally allowed in and each takes a ballot bearing a number from a table. They pass into another room and when they are seated the director of the lottery begins to turn the charge wheel upon which are numbers. The roulette stops at a number, and to everybody's surprise the winner proves to be the little boy. The prize promptly comes toward him and carries him off under her arm into a carriage 'mid the cheers of the crowd. Meanwhile the parents have received a note from the professor informing them of their son's absence. The father goes to the police station and from there to the school, but there is no trace of the son. During this time the boy has taken his lady friend to a fashionable restaurant to dine. He is making merry, drinking and smoking, when he hears the familiar sound of his father's voice. He ducks under the table, but he is too late, for his father got sight of him, and after wrecking the dining-room captures him and spanks him vigorously. This done he turns to the lady, and looking at her indignantly for a moment, waxes soft under her smile, however, and meekly proffers his card, which reads that he receives from two to four daily."
2778,"""Head Over Heels"" (1997)",comedy,A guy comes looking for a date. But Valentina who just made a website for the business puts him on it. And that's when he reveals that he is in the witness protection program and is being hunted down by an assassin known as the Beret. They tell Valentina to take him off but the Beret already saw and goes there to find him.
2779,Homestead Artifact (2001),documentary,"A very personal documentary about a homestead that the filmmaker's grandfather lived on as a boy, the family's rediscovery of the land, and some amazing artifacts that were left behind. Through landscape, artifacts, and a grandmother's stories, the film recounts one family's role in the history of the American West. Homestead Artifact is a thoughtful examination of the connections between history and memory, progress and entropy, story and history."
2780,Mazhe (1966),drama,"Conscripts fall in for the last time to their discharge. Their captain faces the ranks and greets them as a real man. Manhood, a recurrent motif in the film, is their way in life, the ideal that each of them would seek to attain and vindicate. Ivan seems to be first of them to realize the meaning of true love, of parenthood and child upbringing, of conscientious work. He returns to the research institute where he has previously worked. For two years, nothing has changed here. Ivan rebels against the simulation of activity and against the pseudo scholarly atmosphere. An honest man, he openly blames the director and will not evade his own share of the joint responsibility for this state of affairs. The other young man, Sasho, gets lost in the philistinism of the town. He makes a name for himself as a philanderer. At first, he takes a rest from the national service stint at his father's home, but later on, the comfortable job put aside for him at the bank proves too much crippling for him. Still, he masters up his courage and moves back to the small town where he has served in the army. He starts work at the same plant where Dancheto, whom he really loves, is employed. The third young man, Mladen, is practical, industrious, and in love with his boss's daughter. He rapidly climbs up the ladder and gets a supervisor's job thanks to his affable ways with his superiors. With him, thinks seem to be working themselves out, and he no longer needs to court the girl, now that her father has been demoted from the director's position. His two friends know nothing about his breathtaking career. They come to his bachelor room, lay the table and hang a souvenir photo of their friendship on the wall. On the face of it, everything is just right, as it used to be... However, they have a sneaking feeling that only two of them have really achieved something in life. After this reunion, they all go different ways."
2781,"Barbie, le passé au présent (1987)",documentary,"Just before the trial of Klaus Barbie who is charged with crimes against humanity, this documentary reveals the events about the case. It refers also to main actors of the case: Jean Moulin, Jacques Verges, Serge Klarsfeld, Pierre Lamothe, Henri Nogueres, Frederic Dugoujon, Henri Amouroux, Edgar Faure, Marc Aron, Raymond Aubrac, Lise Lesevre, Mario Blardone, Simone Lagrange, Julien Favet, Rene; Wucher, Elie Nahmias. Lucie Aubrac and Joe Nordmann."
2782,The Neon Ceiling (1971),drama,"A housewife and her teenage daughter, fleeing their boring lives, stops in a diner in the California desert. She runs up against the diner's owner, a gruff, beer-drinking artist whose life's work are the neon sculptures he creates and attaches to the ceiling."
2783,Bleeding Hearts (2015),horror,"Captured Hearts, an insane serial killer/horror film, is a heart-jumping, heart-crushing - truly demented - roller coaster ride of mystery, violence, sex and gore. With a raging, climatic twist, all hearts end up in one place. And it's not where they're supposed to be."
2784,Material Drive (2012),drama,"A son of a Russian immigrant oscillates on the night roads of Greater London, between the habitual safety of his wife and the perilous indifference of his lover. Under the darkly luminous cover of a poetically tense, existential drama, Material Drive is a twisted love story and a hypnotic ride through the urban landscape of the soul."
2785,Stress-es tres-tres (1968),drama,"An industrialist drives to the sea with his wife and best friend, who he thinks are starting an affair. As the two flirt, he becomes increasingly paranoid. Will he end his agony by killing the would-be lover, the inconstant wife or himself?"
2786,Nowruz (2018),short,"During Nowruz, the Iranian new year that consists of thirteen nights of celebration, the city of Los Angeles becomes the stage for memories of Tehran. The inhabitants forget their English and switch to a Persian dialect, and the neon lights of Tehran light up the landscape of the City of Angels."
2787,The Onion Presents: The Iconic Images of Election 2016 (2016),comedy,America's Finest News Source looks back at the unforgettable moments that made Election 2016 the unholy monstrosity it was. The Onion's panel of experts discuss how we got to this point and whether democracy was a pretty dumb idea to begin with.
2788,Il conte Tacchia (1982),comedy,"Rome, 1910. Checco Puricelli, the son of a carpenter, is called ""Conte Tacchia"" (""Count Wooden Wedge"") because of his obsession with the aristocracy. He dresses fancy and tries to act as a nobleman with the help of the old Prince Torquato. One evening a young noblewoman begins to take interest in him, and Checco will soon find himself entangled in the treacherous world of the Roman aristocracy."
2789,"""B-city"" (2016)",comedy,"B-City follows four crazy childhood friends who live in Baltimore City as they carry out their everyday lives and relationships through hysterical and sometimes complex situation. The guy version of the show Girlfriends , each character has their own unique personality that seems to get them in and out of predicaments."
2790,Giganti (2007),short,"In his attempt to grow up and become a man, Pietro, a 15 years old boy who lives in the extreme south of Italy, begins to understand the reality in which he is growing up and touches what represents the most violent aspect of mafia: the silence."
2791,"""Juárez, El respeto a la ley"" (2006)",documentary,"On July 15, 1867 Benito Juárez entered Mexico City victoriously, after four years of running the itinerant republican and constitutional government for the country, which at that time had been invaded. With his famous saying - ''among individuals, as among nations, respect for the other's rights is peace'' Juárez sealed the republic's victory and the consolidation of Mexican nationality. At the same time, he topped off a life that was fully devoted to his homeland and respect for the rule of law."
2792,Shark Island: Shark Week (2015),documentary,"In a remote corner of the Indian Ocean, Reunion Island has become the most dangerous place on the planet for shark attacks. After 7 deaths in 4 years, locals and scientists are in a race against time to find answers before another fatal encounter."
2793,Schandfleck - Der Usedom-Krimi (2015),drama,"A supermarket manageress from Ahlbeck on the island of Usedom is found dead in the neighboring Polish resort of Swinemünde. Inspector Julia Thiel and her Polish colleague Marek investigate. The dead woman was planning to meet one of her employees to discuss a mysterious property swap. The case is a challenge for Julia Thiel, because her mother of all people is a ""legal adviser"" to the main suspect. To cap it all, her adolescent daughter is proving difficult, having found out she's having an affair with her Polish colleague."
2794,Tren (1978),war,"A young man from the banks of the Ibar River goes to the revolutionary war. It turns out to be one of the key moments that will later leave marks on his life. The war conflict runs along with his intimate, internal conflicts of his own. He feels the need to think as a human being despite the horrors surrounding him. Such is the deeply embedded need of this man - the need for love, understanding and justice."
2795,Dans le sillage du Titanic: l'histoire du CGS Montmagny (2011),documentary,"In the weeks that followed the sinking of the Titanic in April 1912, the CGS Montmagny, a Canadian resupply ship, is chartered to recover the victims' corpses. The expedition allows a number of corpses to be pulled from the ocean, including one still grasping a life preserver almost a month after the disappearance of the liner. Two years later, the Montmagny shares the same tragic fate as the Titanic: it goes down in its turn, hit by the collier Lingan, leading to the death of an officer and two families of passengers. Since then, the Montmagny has disappeared from memory. This fascinating documentary uncovers the unknown story of this modest vessel with the aid of archival documents, including some never before seen on screen, interviews with historians and gripping reconstructions. Besides the discovery of the wreck, the production team is even able to find a priceless relic from the Titanic : the life preserver salvaged by the Montmagny's crew."
2796,A Beautiful Sunset (2003),drama,"Rosario (Marisa Paredes), her daughter Elena (Ana Torrent) and her granddaughter Beatriz (Marta Larralde) leave their hometown and set out for a weekend at a hotel in the mountains. Each of them has ulterior plans and motives unbeknownst to the others. Rosario has discovered that she has an incurable disease. Elena has been told by her husband to inform her mother that she cannot continue living with them in the family house, and her daughter Beatriz wants to flee from her boyfriend. Elena's unpleasant task becomes more complicated with the appearance of Fernando (Chema Muńoz), her lover, who shows up at the hotel. The weekend poses a dramatic confrontation between the three women, during which they get to know each other better and learn the difficult lessons of freedom. Elena is the only one who returns to the city. At the train station, she announces to her husband and to her daughter's boyfriend - who have gone over to meet her there - that she has many things to tell them."
2797,Almost a Woman (2002),drama,"A young woman named Esmeralda and her family move to New York from a rural area of Puerto Rico. The transition is difficult due to the many challenges she and her family face. Esmeralda Santiago (Ana Maria Lagasca) takes on the life roles of daughter, student and translator for her family. She excels at everything she does, and then she trains to become a stage actress after prompting from her high school guidance counselor. She encounters struggles in the pursuit of her dreams, yet the challenges give her the life experience to become a great actress and writer."
2798,"""Harence"" (2016)",comedy,"Stephen has just reached 1,000 subscribers on his channel, King Vulture. Not knowing what to do he asks for help through his fellow you tubers Ashcam and TheGamingCoconut. In the process Stephen drops his phone whilst doing the 'Ice Cold Bath Challenge.' Because of this, Cameron jokes around and says there is a magic crystal ball that will fix his phone."
2799,Le Clown (2017/II),short,"Un acteur de formation ręve d'incarner les grands rôles tragiques du répertoire, mais sa carričre bat de l'aile. Pour subvenir ŕ ses besoins, il devient ŤCoquetti le clownť, un animateur d'anniversaires pour enfants. Alors qu'il s'appręte ŕ remplir un de ses contrats habituels, une expérience déterminante l'attend."
2800,Out from Ali's Shadow: The Larry Holmes Story (2006),documentary,"Larry Holmes is undeniably one of the greatest champions in heavyweight history. Yet despite his accomplishments, Holmes never managed to escape the presence of the beloved Muhammad Ali. This documentary sheds light upon the man and brings the legacy of Holmes ""Out From Ali's Shadow."""
2801,"Raw, Exposed, Untold: Exposing the True World of Exotic Male Dancing (2005)",documentary,"This unique behind-the-scenes documentary deals with the everyday trials of exotic male dancing in North America. The film aptly shows how male dancers have to cope today with the numerous hardships caused by a steady decline of this exotic industry. Audiences will learn what does it take for the male dancers to survive in this rather competitive and demanding exotic industry. At the same time, the film allows the viewer - for the first time - to go behind the scenes and see what is on the other side of the stage, something that has never before been seen on TV."
2802,Yatagan (2018),comedy,"An inspector in the Bulgarian Anti-Terrorist Agency is due to lose his job and produces a report, identifying an innocent boy as the leader of a terrorist cell. His success-hungry Agency boss orders surveillance of the kid, who is meanwhile crushed by a split from his long-time girlfriend and undertakes actions that look very suspicious for any observer, and enough to convince the Agency in the youth's guilt, leading to his arrest. Feeling remorse for the kid, the inspector admits his guilt to the boy in custody. But surprisingly, the youth devises a plan to turn all negatives into opportunities, forcing the inspector into his scheme. The two form an unusual criminal tandem to steal substantial financial resources from available anti-terrorist funds, playing a dangerous faux terrorist theatre. When their scheme is finally revealed for the scam it is, all players are so mired into the lies they have created, that the only way out is to turn those lies into truths. Which could be easily achievable in the country they live in and so absurd indeed that may confuse some real terrorists..."
2803,Kelly and Me (1957),comedy,"Flop vaudeville performer Len Carmody is adopted by Kelly, a trained dog abandoned by Malo's dog act. When Kelly joins Len's ho-hum song and dance, a popular comedy act is born. On the train, Len meets young Mina Van Runkel, daughter of a movie producer in desperate need of new talent (it's 1930). Successful in making ""dog pictures,"" can Len stand being second banana to Kelly? Complications: a pallid romantic triangle...and the reappearance of Kelly's original owner."
2804,Gold (1932),western,Cramer is working the gold fields by buying up a miner's claim and then having his men kill the miner and retrieve both the money and his gold. His latest victim is Jack Tarrant's partner Sellers. Jack suspects Cramer is behind the killings and he has a plan that will catch him and his men in the act.
2805,The Typewriter (????),drama,"This is not a story about war. Returning home to 1960's Australia, the place he once called home, followed by memories an ocean away. The most unlikely companion, the only way to express the moments lived, ones regretted and lessons not yet learned. The journey not of a man, a family or a hero but of a life that lives through generations sharing stories when we lack the courage to tell them."
2806,El ustaza Fatma (1952),comedy,"Discussing how women could work side by side with men through a funny and glorious classic movie between two neighbors that their kids are graduating from a law school and they love each other. But after graduation, each one of them (Faten and Kamal) open a law firm in front of each other and with multiple funny pictures we can see how struggling the female can face running her office due the society at that time for not used to have a lawyer as a women. With a relation ship between her lover (Kamal Elshenawi) and one of his clients, that masters a crime after killing her husband. Kamal later become a suspect but he gets the support of his lover (Faten) who defend him in court and win the case and they get married"
2807,Aibô: Gekijô-ban III (2014),drama,"A news report circulates about a man who died after being kicked by a horse on a small island located 300km away from Tokyo. National Police Agency director Takeru Kanbe assigns Vice Director Mineaki Kai the task of making sure rumors surrounding the incident are fully investigated. Soon, partners Ukyo Sugishita and Tooru Kai are dispatched to the island to conduct the investigation. When Ukyo and Tooru arrive on the island, which is privately owned by a wealthy businessman, they discover a unit of former Self-Defense Forces personnel who have set up a small community as they participate in training exercises. While Ukyo initially expected to be investigating an accidental death, he quickly becomes convinced it was actually murder. However, when they finally manage to uncover conclusive evidence of this, the soldiers attack. An article is posted in the newspaper with the title ""A Man Is Kicked By A Horse And Dies."" The accident took place on a small island located 300 km away from Tokyo. The island is owned by a business man. Because of the article, Mineaki Kai from the National Police Agency orders Takeru Kanbe to investigate rumors related to the island. Takeru Kanbe assigns Ukyo Sugishita and Tooru Kai to go to the island and investigate."
2808,A Girl Like Her (2012),documentary,"A GIRL LIKE HER is the real story of 'sex and the single girl'. It reveals the hidden history of over a million young women who became pregnant in the 1950s and 60s and were banished to maternity homes to give birth and surrender their babies for adoption. They were told to keep their secret, move on and forget. But, does a woman forget her child? Hear what they have to say now about the long-term impact of surrender and silence on their lives."
2809,Stories of the Cherokees (2008),short,"Story one is the ""Story of Origin"" and is a combination of live action and 3D animation told by Robert Lewis. Story two is the ""Teacher"". David Scott speaks in Cherokee with English subtitles and tells the story of the bird going to water that has been passed down from his great grandfathers. Story three is the "" Ancient"" warrior and tells the story of the Cherokee's balance between man and nature."
2810,O lucro acima da vida (2014),drama,"Fiction based on a true story of Brazilian workers and people living near a pesticide plant, first owned by Shell and then by BASF, that suffered cancers and other severe health problems as a result of land and groundwater contamination around the plant and their fight for justice."
2811,Game Over (2013/V),animation,"Karaati has been captured and his XLN ray device confiscated by the scientific research department. Meanwhile in Aryanagar, a famous foreign toy company has set up a manufacturing unit to make Mighty Raju action figures. They also announce a virtual game where kids can play alongside their superhero."
2812,To the Lighthouse (????),drama,"An adaptation of the Virginia Woolf novel of the same. In 1982 Colin Gregg, David Nicholas Wilkinson, Hugh Stoddart and Corin Campbell Hill made a TV movie of the book starring Rosemary Harris, Michael Gough and Kenneth Branagh. It was well received by the press in both the UK and USA and it won many awards including a BAFTA nomination. With the book still in copyright in the USA, the team have come together to look at the novel through older eyes and to try and improve on the first film."
2813,Rift Valley Fever (2010),documentary,"Rift Valley Fever and is the latest far-reaching zoonosis and like Ebola and SARS, it can have serious implications for humans, too, and there's no vaccine available. With two confirmed deaths and more than 50 cases of human RVF countrywide so far, just how concerned should we be?"
2814,The 4th (2016),comedy,"Jamie is just trying to buy some lighter fluid for a 4th of July cookout. Actually, he bought the lighter fluid already, it's just that he left it at the store, and he already walked the whole way back. His roommate's out of town, so he could probably just borrow his bike, but that bike also means everything to him and Jamie is already behind on rent. It's too bad a chance encounter on the way fuels a chain reaction of terrible luck and frustrating situations that threaten to spin his life out of control."
2815,Käthe Kruse (2015),biography,"As the illegitimate daughter of a seamstress Young Catherine Simon has no rosy future prospects. But in the single-minded woman slumber unsuspected talents. At 17, she made her debut with unexpected success as an actress at the Berlin Lessing Theatre. The world is at her feet and dreams start to jell as the prominent artist Max Kruse meets at the premiere party. The two became a pair, but the newly divorced sculptor is not ready to marry again, not even as Käthe is expecting a child by him. Although, without a marriage certificate they spend two happy years together, but her illegitimate cohabitation does not correspond to the morals of the fine Berlin society. Then destiny knocks again to her door when she starts making rag dolls for her daughters."
2816,Une étrange affaire (1981),drama,"Louis Coline assists the head of advertising of a department store in decline. He has little to do, but seems content with his marriage to Nina, his visits to his mother and grandmother, and poker games with friends. When new boss Bernard Malair arrives to turn the store around, Louis fears for his job; but Bernard, with his numbers man Paul and his factotum François, invites Louis into an inner circle of long hours of work, nightclubs, and dinners with an androgynous vamp. Nina objects, but Louis cannot say no to Bernard's demands, no matter how personal. In desperation, Nina leaves Louis, but that drives him further into Bernard's orbit. Can anything break this spell?"
2817,Western Blood (1918),western,"Tex Taylor has met the heroine on one of his visits to Los Angeles. He is owner of one of the biggest ranches in Texas and she is a daughter of a Colonel buying horses for the Government. He is invited to a dance by the Colonel and comes in his old clothes, as he is traveling light, yet has given his promise to appear. The foil to the hero is another horse buyer, agent for the Allies, who loves the girl. The bandit messenger mistakes him for Tex and entices him out of the ranch while the punchers are doing the honors to the Colonel and his daughter. The girl follows this man out and is captured by the Mexicans, for Phul. This gives Tex a chance to ride over the Rio Grande to rescue her by his own right arm and skill. The cowboys, after being fooled for a minute, beat off the raiders and then the girl and the hero come riding back on the same noble steed."
2818,"""Wildlife Wranglers: Making Cougar Crossings"" (2004)",documentary,"Wildlife Wranglers is an intimate behind the scenes look at the making of the documentary Cougar Crossings. Filmed in the wilderness of Alberta and British Columbia, this 13 part series is educational, entertaining, and packed with exciting action footage and breathtaking scenery. This series marks the emergence of one of Canada's premiere wildlife filmmakers, Matthew Todd Paproski. He leads a determined and dedicated team through the trials and tribulations of filming Roxy and Chaos, two cougar cubs learning how to co-exist with man in an ever-changing landscape. We get a rare and enthusiastic look at the world facing today's wild animals, intelligently and deftly presented by Matt and his crew. We preview work on their next documentary Wolf Crossings, starring wolf pup Aurora. She is seen adapting to her new surroundings, people and working in films. Learning how to hunt, the difference between predator and prey, and man as friend or foe - are just a few of the things Aurora has to come to terms with..."
2819,The Foreboding (????),horror,"When an exhausted new mum fears her newborn is being stalked by a mythical, child-stealing demon, she sets out to prove to her unsympathetic husband, and his domineering mother, that she isn't suffering from postpartum stress, but that an ancient evil is slowly taking hold in their home."
2820,"James Brown: The Man, the Music, & the Message (2008)",documentary,"James Brown: The Man, The Music & The Message is an inspiring program focusing on the remarkable life story of James Brown and how he influenced the world through his music and civic accomplishments. The film specifically explores James Brown's transition from an at-risk youth who faces life's difficult circumstances and challenges to a cultural icon. It also features private interviews and appearances from various entertainment celebrities including Michael Jackson. This entertainment special will send a positive message to the nation by paying homage to the man, the music, and the message of James Brown."
2821,Pravda leytenanta Klimova (1981),drama,"Pravda leytenanta Klimova (aka...Lieutenant Klimov's Truth) is about a Navy Lieutenant Klimov (Rostotsky) who is in charge of the nuclear missiles on his submarine. He is also married to the most beautiful lady (Kondulainen) and his career looks good, considering he was a boy from Leningrad. But after returning home from a training trip he discovers about his wife infidelity with another Navy officer. Angry Lieutenant Klimov hits the cheating guy smack in the face with his heavy fist in front of public. Then comes the severe punishment of demoting and moving Klimov to the rough service at the Polar Ocean. This becomes a great challenge in Klimov's life. But with the help of an experienced and caring senior officer, Klimov proves that he is an outstanding professional and a reliable friend that is very essential on the boat."
2822,Mississippi Son (2007),documentary,"Shot in high definition on the Mississippi Gulf Coast, featuring never-before-seen storm footage, and scored with an original blues-rock soundtrack composed and recorded by storm victims, Mississippi Son is an award winning documentary feature film that tells the heartwrenching and heartwarming story of the people, the culture, and the future in the wake of Hurricane Katrina. Born and raised in Gulfport, Mississippi, Emmy award-winning filmmaker Don Wilson was deeply moved by the losses of his family and friends. In this film, he returns home to talk to those who lived through the hurricane and continue to struggle with life in the aftermath of the biggest natural disaster in American history. As the media continues to focus on New Orleans, this film tells the Mississippi side of the story, reminding us all that the Mississippi Gulf Coast was completely destroyed."
2823,Impact (2004/II),documentary,"'Impact' investigates the events surrounding 'The Passion of the Christ' and takes viewers around the world to show the spectacular effect the film, and more importantly, Jesus Christ has in these final days of mankind."
2824,Sailor's Lady (1940),comedy,"Sailor (Hall) is going to marry his girlfriend (Kelly) when he returns, but she becomes foster mother to baby whose parents are accidentally killed. The baby is accidentally left on board a visiting battleship."
2825,Lime Rock Park: The Secret Valley of Racing (2001),documentary,"A visually poetic documentary essay on the mystique of American road racing, set against the backdrop of Connecticut's beloved Berkshire racecourse. The story unfolds of the track's history amidst the four seasons, lovingly told with expert help of former racers Sam Posey, John Fitch, Skip Barber, and Lemans racer Butch Leitzinger--as well as famed actor/racer Paul Newman. From the moment of a driving snowstorm that serves as the opening, the film is a sensitive history lesson-- and racing experience, that closes with a haunting reminder of the value of true passion."
2826,Cut Loose (????),comedy,"Tom, ageing ex-writer, stoner and borderline alcoholic lives alone apart from his dog Escobar and occasional visits from his dealer; until he accepts a cross country car ride with the repressed, obsessive-compulsive William, a young, naive American academic journeying from Edinburgh to London. The drive turns into an epic comedy journey of truths, lies and self-discovery."
2827,Encounter Point (2006),documentary,"""Encounter Point"" moves beyond sensational and canned images to tell the story of an Israeli settler, a Palestinian ex-prisoner, a bereaved Israeli mother and a wounded Palestinian bereaved brother who sacrifice their safety, public standing and homes in order to press for a grassroots movement for nonviolence and peace."
2828,Cardio Pilates (2003),short,"An invigorating fusion of classic Pilates movements and fat-burning cardio exercise, Cardio Pilates delivers the strength conditioning effects Pilates is known for, as well as a results-intensifying, heart-rate boosting cardiovascular workout."
2829,Eroica (1960),drama,"The film tells the love story between Alekos, Loizos and Monica. Alekos is the member of a teenage gang, led by Loizos. Monica is the daughter of the British ambassador in Greece, and cannot speak the Greek language, but Loizos and his gang know their share of English. Alekos is a 15-year-old romantic, passionate, and highly impulsive. Loizos is calmer and meditative, but also aggressive when pushed by circumstances. Monica is a melodramatic socialite, who develops feelings towards Loizos, even if Alekos has fallen for her. When Loizos' best friend, Andreas, is killed, their lives are turned upside down."
2830,Beit El Baher (2016),drama,"The Beach House is a film about four people from an Arab generation roaming over the ruins of ideologies, causes and virtues of their predecessors. It portrays their intellectual and emotional nonchalance about what is happening around them in their daily lives and relationships. In a house whose architecture is a sixties' experiment in mixing modern and Islamic architecture, a stone and concrete cube suspended over a rocky shore bashed by the waves of the Mediterranean, by famed Iraqi architect Refaat Chaderji, we spend a night with four characters whose non-stop conversations and peculiar actions reflect the void and chaos they are living in."
2831,A Stranger in My Homeland (2005),documentary,"This tells the stories of Zimbabwean refugees who have had to flee the country of their birth due to the current regime of terror under Robert Mugabe. Two such refugees, Irvine Ndou and Peter Ntini spoke out against the regime and were tortured for their actions. They later had to flee the country with nothing more than the clothes they were wearing. This film tells their story...."
2832,"""Benchmark"" (2015)",game-show,"A show where one person has a go at guessing whether the number of something (E.g. How many adults in the UK own a mobile phone?) Is higher or lower than the average of 10 others who guess along with the player, however these aren't actually part of the competition."
2833,"""Holding On"" (1997)",drama,"A complex, moving story of life in the big bad city, in this case London. The tragic, senseless, futile murder of a beautiful young woman, just embarking on her journey through life, acts as a catalyst of change for a large and diverse group of people seemingly unconnected with this terrible event. As the ripples of change expand this group of people come under increasing pressure to face the harsh realities of their existence and turn away from the cosy fantasies they thought they knew. Some discover an inner strength that inspires them to better their lives and look to the future with hope but for others the overwhelming waves of despair and despondency push them ever nearer to the edge of the abyss. Watching it all with a jaundiced eye and a practiced put down, apparently aloof and untouched by events, is Gary Rickey, born Billy Rickey in the town of the same name, a London broad sheet food critic who doesn't seem to like food or it doesn't like him. However, even he cannot escape the inevitable and must eventually decide to sink or swim in this tide of change as it spreads ever wider."
2834,Trigger (2016/VII),short,"""When the mind and body are under constant attack from environmental stress, the brain has difficulty producing dopamine, a neurotransmitter essential to feeling pleasure. The brain compensates for this by releasing the chemical most associated with stress, cortisol. The same chemical that fuels our Flight or Fight Response. Thus, creating a cycle of constant alert and self-defense. As a result, our body not only misinterprets input, but miscalculates interpretation. It begins to confuse fear for excitement, love for lust."
